nome,siglaPartido,Coalizao
Abilio Brunini,PL,oposicao
Acácio Favacho,MDB,centrao_mdb
Adail Filho,REPUBLICANOS,centrao_mdb
Adilson Barroso,PL,oposicao
Adolfo Viana,PSDB,centrao_uniao
Adriana Ventura,NOVO,oposicao
Adriano do Baldy,PP,centrao_uniao
Aécio Neves,PSDB,centrao_uniao
Afonso Hamm,PP,centrao_uniao
Afonso Motta,PDT,centrao_uniao
Aguinaldo Ribeiro,PP,centrao_uniao
Airton Faleiro,PT,governo
AJ Albuquerque,PP,centrao_uniao
Alberto Fraga,PL,oposicao
Alberto Mourão,MDB,centrao_mdb
Albuquerque,REPUBLICANOS,centrao_mdb
Alceu Moreira,MDB,centrao_mdb
Alencar Santana,PT,governo
Alex Manente,CIDADANIA,centrao_uniao
Alex Santana,REPUBLICANOS,centrao_mdb
Alexandre Guimarães,MDB,centrao_mdb
Alexandre Leite,UNIÃO,centrao_uniao
Alexandre Lindenmeyer,PT,governo
Alfredinho,PT,governo
Alfredo Gaspar,UNIÃO,centrao_uniao
Alice Portugal,PCdoB,governo
Aliel Machado,PV,governo
Altineu Côrtes,PL,oposicao
Aluisio Mendes,REPUBLICANOS,centrao_mdb
Amália Barros,PL,oposicao
Amanda Gentil,PP,centrao_uniao
Amaro Neto,REPUBLICANOS,centrao_mdb
Amom Mandel,CIDADANIA,centrao_uniao
Ana Paula Leão,PP,centrao_uniao
Ana Paula Lima,PT,governo
Ana Pimentel,PT,governo
André Fernandes,PL,oposicao
André Ferreira,PL,oposicao
André Figueiredo,PDT,centrao_uniao
André Janones,AVANTE,centrao_uniao
Andreia Siqueira,MDB,centrao_mdb
Antônia Lúcia,REPUBLICANOS,centrao_mdb
Antonio Andrade,REPUBLICANOS,centrao_mdb
Antonio Brito,PSD,centrao_mdb
Antonio Carlos Rodrigues,PL,oposicao
Antônio Doido,MDB,centrao_mdb
Any Ortiz,CIDADANIA,centrao_uniao
Arlindo Chinaglia,PT,governo
Arnaldo Jardim,CIDADANIA,centrao_uniao
Arthur Lira,PP,centrao_uniao
Arthur Oliveira Maia,UNIÃO,centrao_uniao
Átila Lins,PSD,centrao_mdb
Átila Lira,PP,centrao_uniao
Augusto Coutinho,REPUBLICANOS,centrao_mdb
Augusto Puppio,MDB,centrao_mdb
Aureo Ribeiro,SOLIDARIEDADE,centrao_uniao
Bacelar,PV,governo
Baleia Rossi,MDB,centrao_mdb
Bandeira de Mello,PSB,governo
Bebeto,PP,centrao_uniao
Benedita da Silva,PT,governo
Benes Leocádio,UNIÃO,centrao_uniao
